Mark-to-Market Performance Summary,Data,Stocks,JPIB,10797,114097,48.54,48.68,1511.58,-990.005,-223.848851,0,297.726149,,,,
Mark-to-Market Performance Summary,Data,Stocks,JPM,2754,2754,289.37,294.26,13467.06,0,0,0,13467.06,,,,
Mark-to-Market Performance Summary,Data,Stocks,MCD,7945,7945,302.89,304.23,10646.3,0,0,0,10646.3,,,,
Mark-to-Market Performance Summary,Data,Stocks,ME8U,905600,1054100,2.02,2.01,-7030.71616,0,-251.8246014,0,-7282.540761,,,,
Mark-to-Market Performance Summary,Data,Stocks,MELI,232,464,"2,375.92","2,395.83",4619.12,-1772.084,-0.51700504,0,2846.518995,,,,
Mark-to-Market Performance Summary,Data,Stocks,NDAQ,11119,11119,95.17,96.91,19347.06,0,0,0,19347.06,,,,
Mark-to-Market Performance Summary,Data,Stocks,NOC,957,957,586.44,589.75,3167.67,0,0,0,3167.67,,,,
Mark-to-Market Performance Summary,Data,Stocks,NOW,19,19,914.37,923,163.97,0,0,0,163.97,,,,
Mark-to-Market Performance Summary,Data,Stocks,NTDU,813200,813200,0.94,0.95,8132,0,0,0,8132,,,,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,7033,7033,173.72,180,44167.24,0,0,0,44167.24,,,,
Mark-to-Market Performance Summary,Data,Stocks,NVO,3567,3567,48.19,48.81,2211.54,0,0,0,2211.54,,,,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2238,2238,172.88,171,-4207.44,0,0,0,-4207.44,,,,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,4890,4890,154.27,160.66,31247.1,0,0,0,31247.1,,,,
Mark-to-Market Performance Summary,Data,Stocks,PM,14081,14081,162.96,162.99,422.43,0,0,0,422.43,,,,
Mark-to-Market Performance Summary,Data,Stocks,PONY,14008,14008,13.04,14.06,14288.16,0,0,0,14288.16,,,,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,19,19,553.88,564.1,194.18,0,0,0,194.18,,,,
Mark-to-Market Performance Summary,Data,Stocks,RHMd,183,183,"1,707.50","1,765.00",12176.637,0,0,0,12176.637,,,,
Mark-to-Market Performance Summary,Data,Stocks,RTX,5589,5589,156.81,157.38,3185.73,0,0,0,3185.73,,,,
Mark-to-Market Performance Summary,Data,Stocks,SGOV,208635,427335,100.39,100.41,4172.7,0,-814.322889,0,3358.377111,,,,
Mark-to-Market Performance Summary,Data,Stocks,SHOP,5364,5364,118.6,125.21,35456.04,0,0,0,35456.04,,,,
Mark-to-Market Performance Summary,Data,Stocks,SHYG,29748,29748,42.76,42.89,3867.24,0,0,0,3867.24,,,,
Mark-to-Market Performance Summary,Data,Stocks,SPLV,262,262,72.36,73.12,199.12,0,0,0,199.12,,,,
Mark-to-Market Performance Summary,Data,Stocks,SPMO,42,42,113.23,115.25,84.84,0,0,0,84.84,,,,
Mark-to-Market Performance Summary,Data,Stocks,SPXL,1330,1330,174.65,182.53,10480.4,0,0,0,10480.4,,,,
Mark-to-Market Performance Summary,Data,Stocks,STZ,241,241,166.18,170.29,990.51,0,0,0,990.51,,,,
Mark-to-Market Performance Summary,Data,Stocks,TLT,0,182000,--,88.06,0,8743.3231,-128.2601203,0,8615.06298,,,,
Mark-to-Market Performance Summary,Data,Stocks,TQQQ,297769,431769,82.92,87.46,1351871.26,154578.9955,-277.63702,0,1506172.618,,,,
Mark-to-Market Performance Summary,Data,Stocks,TSM,3703,3703,235.21,239,14034.37,0,0,0,14034.37,,,,
Mark-to-Market Performance Summary,Data,Stocks,U96,215200,215200,7.61,7.82,35085.26112,0,0,0,35085.26112,,,,
Mark-to-Market Performance Summary,Data,Stocks,URA,0,16700,--,39.49,0,2290.4802,-22.486259,0,2267.993941,,,,
Mark-to-Market Performance Summary,Data,Stocks,USMV,19,19,92.34,93.37,19.57,0,0,0,19.57,,,,
Mark-to-Market Performance Summary,Data,Stocks,VRT,8415,8415,141.59,140.2,-11696.85,0,0,0,-11696.85,,,,
Mark-to-Market Performance Summary,Data,Stocks,VST,2216,2216,208.05,214.06,13318.16,0,0,0,13318.16,,,,
Mark-to-Market Performance Summary,Data,Stocks,VTIP,48,48,50.2,50.26,2.88,0,0,0,2.88,,,,
Mark-to-Market Performance Summary,Data,Stocks,VZ,18352,18352,42.88,42.95,1284.64,0,0,0,1284.64,,,,
Mark-to-Market Performance Summary,Data,Total,,,,,,2344094.557,173501.9246,-6235.502196,0,2511360.979,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,AAPL 17JUN27 200 C,30,30,36.9167,37.208,873.9,0,0,0,873.9,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,AAPL 17JUN27 240 P,-30,-30,45.4283,44.5398,2665.5,0,0,0,2665.5,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,AAPL 17JUN27 250 P,-30,-30,52.3885,51.4251,2890.2,0,0,0,2890.2,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,COIN 15JAN27 190 C,54,54,158.5599,159.8504,6968.7,0,0,0,6968.7,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,COIN 15JAN27 320 C,18,18,92.2161,92.4935,499.32,0,0,0,499.32,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,COIN 15JAN27 330 P,-36,-36,86.9819,84.525,8844.84,0,0,0,8844.84,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,COIN 15JAN27 370 P,-72,-72,111.7802,110.0098,12746.88,0,0,0,12746.88,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,COIN 15JAN27 400 P,-54,-54,132.7893,130.4477,12644.64,0,0,0,12644.64,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,CRCL 20FEB26 135 C,22,22,40.8,39.7216,-2372.48,0,0,0,-2372.48,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,CRCL 20FEB26 150 P,-88,-88,30.9599,30.2982,5822.96,0,0,0,5822.96,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,JNJ 15JAN27 100 C,40,40,68.2626,72.0369,15097.2,0,0,0,15097.2,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,JNJ 15JAN27 160 C,20,20,19.627,21.9354,4616.8,0,0,0,4616.8,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,JNJ 15JAN27 195 P,-80,-80,30.5491,28.0756,19788,0,0,0,19788,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,JPM 17JUN27 295 P,-50,-50,36.8366,34.175,13308,0,0,0,13308,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,JPM 17JUN27 300 C,50,50,37.814,40.1321,11590.5,0,0,0,11590.5,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,LLY 17JUN27 700 C,30,30,185.6649,188.7856,9362.1,0,0,0,9362.1,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,LLY 17JUN27 810 P,-40,-40,141.7789,140.3567,5688.8,0,0,0,5688.8,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PANW 15JAN27 170 P,0,-60,--,24.4001,0,1059.4,-42.4044,0,1016.9956,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PANW 15JAN27 290 C,0,90,--,5.4105,0,-6352.5,-63.3555,0,-6415.8555,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PM 15JAN27 80 C,12,12,83.9966,83.7308,-318.96,0,0,0,-318.96,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PM 15JAN27 115 C,24,24,52.5542,51.3,-3010.08,0,0,0,-3010.08,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PM 15JAN27 190 P,-48,-48,34.1411,35.1229,-4712.64,0,0,0,-4712.64,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,QQQ 16JAN26 569.78 P,0,-1,--,27.555,0,36.5,-0.86424,0,35.63576,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,QQQ 16JAN26 609.78 P,0,1,--,49.6713,0,-93.87,-1.04145,0,-94.91145,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SPOT 18JUN26 650 P,-40,-40,102.4235,88.27,56614,0,0,0,56614,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SPOT 18JUN26 660 P,-10,-10,107.8544,93.2214,14633,0,0,0,14633,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SPOT 18JUN26 690 C,20,20,85.1766,102.4436,34534,0,0,0,34534,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SPY 16JAN26 635 P,0,-1,--,23.95,0,54,-1.54424,0,52.45576,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SPY 16JAN26 675 P,0,1,--,45.8086,0,-126.14,-1.04145,0,-127.18145,,,,
Mark-to-Market Performance Summary,Data,Total,,,,,,228775.18,-5422.61,-110.25128,0,223242.3187,,,,
