"BOF","U8251256","Portfolio Dashboard","6","2023-11-14","2023-11-14","2025-10-06;04:33:09","100","100"
"BOA","U8251256"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U8251256","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"21891226.708064012","0","0","0","22123896.325140253"
"EOS","CNAV","1","22123896.325140253"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
QQQ,,,,2023-11-14,-2500,378.36,-8.183375,53401.428228,53401.428228,0.0,SELL,STK
QQQ,,,,2023-11-14,-2500,378.3832,-18.383839,47907.913634,47907.913634,0.0,SELL,STK
QQQ,,,,2023-11-14,-2500,378.381204,-19.01839908,42921.577185,42921.577185,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.3,-9.81861,52922.098333,52922.098333,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.26,-9.81765,56016.91163,56016.91163,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.282673333,-25.11819416,53221.136013,53221.136013,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.29,-9.81837,57646.938747,57646.938747,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.3,-13.89861,61724.391385,61724.391385,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.3,-9.81861,64958.866314,64958.866314,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.31,-9.81885,65483.109101,65483.109101,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.3,-9.81861,64951.110361,64951.110361,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.31,-9.81885,65922.623957,65922.623957,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.39,-13.90077,68243.654023,68243.654023,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.38,-9.82053,68139.560291,68139.560291,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.42,-25.12149,69201.021377,69201.021377,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.43,-9.82173,68889.77113,68889.77113,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.42,-9.82149,69058.967831,69058.967831,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.42,-9.82149,69957.279215,69957.279215,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.43,-9.82173,69566.238729,69566.238729,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.43,-9.82173,70051.238969,70051.238969,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.49,-9.82317,70025.94793,70025.94793,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.5,-20.03341,68545.695607,68545.695607,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.51,-24.10365,68184.2899,68184.2899,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.52,-9.82389,68044.785045,68044.785045,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.52,-9.82389,67456.42979,67456.42979,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.53,-9.82413,58991.169322,58991.169322,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.54,-9.82437,25035.209251,25035.209251,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.5,-9.82341,25529.876948,25529.876948,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.26,-9.81765,23766.327757,23766.327757,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.25,-25.11741,26596.549324,26596.549324,0.0,SELL,STK
QQQ,,,,2023-11-14,-556,378.05,-1.81860372,4309.674608,4309.674608,0.0,SELL,STK
QQQ,,,,2023-11-14,-150,377.95,-0.54054725,1010.072762,1010.072762,0.0,SELL,STK
QQQ,,,,2023-11-14,-2294,377.93,-19.20057354,13025.054787,13025.054787,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,377.959,-25.110426,16296.81657,16296.81657,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,377.96,-19.50045,15821.369245,15821.369245,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,377.97,-20.01069,20459.796526,20459.796526,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,377.98,-9.81093,27986.562229,27986.562229,0.0,SELL,STK
QQQ,,,,2023-11-14,-3000,378.02,-24.60189,24827.885614,24827.885614,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.03,-5.15071,8598.557737,8598.557737,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.06004,-8.37095032,8473.104981,8473.104981,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.1,-8.37127,9008.391841,9008.391841,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.1,-3.27127,9132.87224,9132.87224,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.12,-3.27143,9196.18219,9196.18219,0.0,SELL,STK
QQQ,,,,2023-11-14,-60,378.1,-0.42644525,543.100464,543.100464,0.0,SELL,STK
QQQ,,,,2023-11-14,-940,378.07,-7.8687682,8439.469022,8439.469022,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.07,-8.37103,9115.787371,9115.787371,0.0,SELL,STK
QQQ,,,,2023-11-14,-908,378.07,-2.97009524,9511.578857,9511.578857,0.0,SELL,STK
SMH,,,,2023-11-14,-40,157.22,-0.33036765,457.638819,457.638819,0.0,SELL,STK
SMH,,,,2023-11-14,-2537,156.7,-9.35447759,27414.039133,27414.039133,0.0,SELL,STK
TLT,,,,2023-11-14,-13179,88.000863495,-16.81033517,6704.664175,6704.664175,0.0,SELL,STK
TMF,,,,2023-11-14,-169295,4.64,-423.33476905,11981.367869,11981.367869,0.0,SELL,STK
TMF,,,,2023-11-14,-121442,4.63,-651.48422142,-1290.317322,-1290.317322,0.0,SELL,STK
UPRO,,,,2023-11-14,-5666,44.130354748,-15.77453974,5705.343477,5705.343477,0.0,SELL,STK
VRTX,,,,2023-11-14,-130,379.113923077,-1.17938573,3060.142017,3060.142017,0.0,SELL,STK
VRTX,,,,2023-11-14,-875,379.0,-2.86866125,16565.409974,16565.409974,0.0,SELL,STK
"EOS","TRNT","145","0"
"BOS","RATE","Conversion Rates"
"Date/Time","FromCurrency","ToCurrency","Rate"
"2023-11-14","CHF","USD","1.1248"
"2023-11-14","MXN","USD","0.057655"
"2023-11-14","QAR","USD","-1"
"2023-11-14","SAR","USD","0.26662"
"2023-11-14","ZAR","USD","0.054868"
"2023-11-14","INR","USD","0.012051"
"2023-11-14","THB","USD","0.028158"
"2023-11-14","CNY","USD","0.13786"
"2023-11-14","AUD","USD","0.65074"
"2023-11-14","KRW","USD","0.00076621"
"2023-11-14","ILS","USD","0.26624"
"2023-11-14","JPY","USD","0.00665"
"2023-11-14","PLN","USD","0.24735"
"2023-11-14","GBP","USD","1.2499"
"2023-11-14","IDR","USD","-1"
"2023-11-14","HUF","USD","0.0028932"
"2023-11-14","KWD","USD","-1"
"2023-11-14","PHP","USD","-1"
"2023-11-14","TRY","USD","0.034933"
"2023-11-14","RUB","USD","0.011047"
"2023-11-14","AED","USD","0.27226"
"2023-11-14","HKD","USD","0.12812"
"2023-11-14","TWD","USD","0.031156"
"2023-11-14","EUR","USD","1.0879"
"2023-11-14","DKK","USD","0.14584"
"2023-11-14","CAD","USD","0.7303"
"2023-11-14","MYR","USD","-1"
"2023-11-14","BGN","USD","0.55625"
"2023-11-14","NOK","USD","0.09193"
"2023-11-14","RON","USD","0.21882"
"2023-11-14","RUS","USD","-1"
"2023-11-14","SGD","USD","0.74145"
"2023-11-14","OMR","USD","-1"
"2023-11-14","CZK","USD","0.044482"
"2023-11-14","SEK","USD","0.094419"
"2023-11-14","NZD","USD","0.60085"
"2023-11-14","CNH","USD","0.13792"
"2023-11-14","BRL","USD","0.20551"
"2023-11-14","BHD","USD","-1"
"EOS","RATE","39","0"
"EOA","U8251256"
"EOF"
