BOF,U8251256,Portfolio Dashboard,6,9/10/2025,9/10/2025,2025-10-10;01:27:00,100,100,,,,
8867.19,8867.19,0,100,29/9/2026,460,100,388 29SEP26 460 C,OPT,C,388,53.2,
-26688,-26688,0,300,15/1/2027,60,100,FXY 15JAN27 60 C,OPT,C,FXY,3.8335,
-6484,-6484,0,-200,15/1/2027,65,100,FXY 15JAN27 65 P,OPT,P,FXY,5.1553,
-1830.1,-1830.1,0,-10,17/12/2027,270,100,GOOGL 17DEC27 270 P,OPT,P,GOOGL,54.1757,
-2994.15,-2994.15,0,-15,17/12/2027,280,100,GOOGL 17DEC27 280 P,OPT,P,GOOGL,60.5411,
-1403.6,-1403.6,0,20,17/12/2027,335,100,GOOGL 17DEC27 335 C,OPT,C,GOOGL,24.6982,
455.12,455.12,0,-8,21/1/2028,700,100,GS 21JAN28 700 P,OPT,P,GS,85.1053,
70.54,70.54,0,-2,21/1/2028,710,100,GS 21JAN28 710 P,OPT,P,GS,88.9649,
379.5,379.5,0,-10,21/1/2028,760,100,GS 21JAN28 760 P,OPT,P,GS,109.6859,
752.64,752.64,0,8,21/1/2028,810,100,GS 21JAN28 810 C,OPT,C,GS,128.275,
1335.28,1335.28,0,-8,21/1/2028,820,100,GS 21JAN28 820 P,OPT,P,GS,138.7968,
279.65,279.65,0,5,21/1/2028,880,100,GS 21JAN28 880 C,OPT,C,GS,100.6036,
-521.9,-521.9,0,-10,21/1/2028,280,100,JPM 21JAN28 280 P,OPT,P,JPM,29.4628,
975,975,0,-30,21/1/2028,310,100,JPM 21JAN28 310 P,OPT,P,JPM,41.375,
1646.4,1646.4,0,15,21/1/2028,320,100,JPM 21JAN28 320 C,OPT,C,JPM,43.9476,
103.05,103.05,0,-15,21/1/2028,320,100,JPM 21JAN28 320 P,OPT,P,JPM,46.4901,
1060.2,1060.2,0,10,21/1/2028,330,100,JPM 21JAN28 330 C,OPT,C,JPM,39.5352,
363.3,363.3,0,-30,21/1/2028,330,100,JPM 21JAN28 330 P,OPT,P,JPM,51.6559,
886.35,886.35,0,-15,21/1/2028,360,100,JPM 21JAN28 360 P,OPT,P,JPM,69.4,
1550.2,1550.2,0,20,21/1/2028,470,100,JPM 21JAN28 470 C,OPT,C,JPM,7.7251,
8551.2,8551.2,0,10,17/12/2027,190,100,ORCL 17DEC27 190 C,OPT,C,ORCL,142.251,
4690.8,4690.8,0,-20,17/12/2027,320,100,ORCL 17DEC27 320 P,OPT,P,ORCL,82.7994,
-491.6,-491.6,0,-40,17/12/2027,140,100,PLTR 17DEC27 140 P,OPT,P,PLTR,29.2729,
984.6,984.6,0,-60,17/12/2027,180,100,PLTR 17DEC27 180 P,OPT,P,PLTR,49.7338,
85.3,85.3,0,-10,17/12/2027,185,100,PLTR 17DEC27 185 P,OPT,P,PLTR,52.7403,
113.5,113.5,0,-10,17/12/2027,195,100,PLTR 17DEC27 195 P,OPT,P,PLTR,58.7689,
1387.4,1387.4,0,10,17/12/2027,260,100,PLTR 17DEC27 260 C,OPT,C,PLTR,44.2339,
4277.1,4277.1,0,30,17/12/2027,280,100,PLTR 17DEC27 280 C,OPT,C,PLTR,40.1104,
1813.8,1813.8,0,12,15/1/2027,80,100,PM 15JAN27 80 C,OPT,C,PM,77.8795,
2668.08,2668.08,0,24,15/1/2027,115,100,PM 15JAN27 115 C,OPT,C,PM,46.4777,
4333.92,4333.92,0,-48,15/1/2027,190,100,PM 15JAN27 190 P,OPT,P,PM,39.5282,
74248,74248,0,-800,31/12/2025,552,100,QQQ 31DEC25 552 C,OPT,C,QQQ,69.9686,
46325,46325,0,-500,31/12/2025,553,100,QQQ 31DEC25 553 C,OPT,C,QQQ,69.0984,
-111956,-111956,0,1300,31/12/2025,580,100,QQQ 31DEC25 580 C,OPT,C,QQQ,46.6742,
2882.1,2882.1,0,-30,21/1/2028,185,100,VST 21JAN28 185 P,OPT,P,VST,41.1039,
2100,2100,0,10,21/1/2028,320,100,VST 21JAN28 320 C,OPT,C,VST,37.25,
35000,35000,0,-50,19/12/2025,24500,20,NQ 19DEC25 24500 C,FOP,C,NQZ5,1338,
3275,3275,0,-5,19/12/2025,24750,20,NQ 19DEC25 24750 C,FOP,C,NQZ5,1163.25,
-12875,-12875,0,25,19/12/2025,25750,20,NQ 19DEC25 25750 C,FOP,C,NQZ5,586,
-11750,-11750,0,25,19/12/2025,26000,20,NQ 19DEC25 26000 C,FOP,C,NQZ5,478,
-2100,-2100,0,5,19/12/2025,26250,20,NQ 19DEC25 26250 C,FOP,C,NQZ5,385,
1850.049379,1850.049379,0,30685620.3,,,0,HKD,CASH,,,0.12851,
