DATE,NAV (USD),CASH INJECTION,DAILY P&L,Daily Return,Weekly P&L,Weekly Return,MTD Change,MTD %,Cal,LTD ROR%,YTD Change,YTD ROR%,Annualised Return,Annualised Volatility,30 Days P&L,30 Days Return,90 Days P&L,90 Days Return,252 Days P&L,252 Days Return,Sharpe Ratio,Sortino Ratio,Value at Risk 95%(30days),Value at Risk 95%(90days),Value at Risk 95%(252days),Value at Risk 99%(252days),CAGR,Excess Return,Negative Excess Returns,Square of (Negative Excess Returns),Trailing 252D Sharpe,Trailing 252D Sortino,Trailing 252D Annualised Return,Trailing 252D Annualised Volatility
2022-10-20,31855554.08,0.0,-139555.25,-0.44,737127.09,2.37,418732.38,1.33,0.74,-26.14,-32733182.25,-50.68,-7.29,33.04,-3551019.27,-10.03,-4179517.58,-11.6,-34989999.88,-52.35,-0.36,-0.46,-0.03,-0.03,-0.04,-0.06,-12.01,-0.45,-0.45,0.0,-1.94,-2.41,-67.14,0.37
2022-10-21,32547587.13,0.0,692033.05,2.17,1429160.14,4.59,1110765.43,3.53,0.75,-24.54,-32041149.2,-49.61,-6.36,33.04,-3997457.03,-10.94,-3145823.66,-8.81,-34792341.82,-51.67,-0.33,-0.43,-0.03,-0.03,-0.04,-0.06,-11.19,2.15,0.0,0.0,-1.89,-2.36,-65.7,0.37
2022-10-24,32880346.88,0.0,332759.75,1.02,332759.75,1.02,1443525.18,4.59,0.76,-23.76,-31708389.45,-49.09,-5.92,33.02,-4332715.68,-11.64,-2834636.98,-7.94,-36244586.39,-52.44,-0.32,-0.41,-0.03,-0.03,-0.04,-0.06,-10.79,1.0,0.0,0.0,-1.94,-2.42,-67.33,0.37
2022-10-25,33364250.21,0.0,483903.33,1.47,816663.08,2.51,1927428.51,6.13,0.77,-22.64,-31224486.12,-48.34,-5.29,33.01,-1008130.13,-2.93,-3228553.84,-8.82,-36395612.01,-52.18,-0.3,-0.39,-0.03,-0.03,-0.04,-0.06,-10.22,1.45,0.0,0.0,-1.93,-2.4,-66.78,0.37
2022-10-26,32785794.01,0.0,-578456.2,-1.73,238206.88,0.73,1348972.31,4.29,0.76,-23.98,-31802942.32,-49.24,-6.01,33.0,-2098108.8,-6.01,-3662332.71,-10.05,-37046550.0,-53.05,-0.32,-0.42,-0.03,-0.03,-0.04,-0.06,-10.86,-1.75,-1.75,0.0,-1.97,-2.46,-68.62,0.37
2022-10-27,32439784.52,0.0,-346009.49,-1.06,-107802.61,-0.33,1002962.82,3.19,0.75,-24.79,-32148951.81,-49.77,-6.44,32.98,-1661059.06,-4.87,-4207911.82,-11.48,-37107278.77,-53.36,-0.33,-0.43,-0.03,-0.03,-0.04,-0.06,-11.24,-1.07,-1.07,0.0,-1.99,-2.48,-69.26,0.37
2022-10-28,33348753.6,0.0,908969.08,2.8,801166.47,2.46,1911931.9,6.08,0.77,-22.68,-31239982.73,-48.37,-5.26,33.0,-488958.05,-1.45,-4446393.59,-11.76,-33161945.74,-49.86,-0.3,-0.39,-0.03,-0.03,-0.04,-0.06,-10.19,2.78,0.0,0.0,-1.8,-2.26,-62.09,0.37
2022-10-31,32916994.83,0.0,-431758.77,-1.29,-431758.77,-1.29,1480173.13,4.71,0.76,-23.68,-31671741.5,-49.04,-5.79,32.98,-1108958.49,-3.26,-4703826.76,-12.5,-33759091.42,-50.63,-0.31,-0.41,-0.03,-0.03,-0.04,-0.06,-10.66,-1.31,-1.31,0.0,-1.84,-2.31,-63.64,0.37
2022-11-01,32619285.95,0.0,-297708.88,-0.9,-729467.65,-2.19,-297708.88,-0.9,0.76,-24.37,-31969450.38,-49.5,-6.16,32.96,-1147709.08,-3.4,-3995552.68,-10.91,-35598726.13,-52.19,-0.32,-0.42,-0.03,-0.03,-0.04,-0.06,-10.98,-0.92,-0.92,0.0,-1.94,-2.42,-66.86,0.37
2022-11-02,31735400.24,0.0,-883885.71,-2.71,-1613353.36,-4.84,-1181594.59,-3.59,0.74,-26.42,-32853336.09,-50.87,-7.28,32.98,-1527149.08,-4.59,-4825689.85,-13.2,-36173601.56,-53.27,-0.36,-0.47,-0.03,-0.03,-0.04,-0.06,-11.98,-2.73,-2.73,0.0,-1.99,-2.48,-69.11,0.37
