BOF,U8251256,Portfolio Dashboard,6,12/8/2026,12/8/2026,2026-08-12;23:09:09,100,100,,,,
SGD,-298731.2702,-298731.2702,0,-298731.2702,-298731.2702,0,,,,,,
TWD,-0.000000002,-0.000000002,0,-0.000000002,-0.000000002,0,,,,,,
USD,802671.2456,802671.2456,0,802671.2456,802671.2456,0,,,,,,
EOS,CRTT,8,-1080591926,,,,,,,,,
BOS,TRNT,Trades; trade date basis,,,,,,,,,,
Symbol,Strike,Expiry,Put/Call,TradeDate,Quantity,TradePrice,IBCommission,FifoPnlRealized,CapitalGainsPnl,FxPnl,Buy/Sell,AssetClass
USD.TWD,,,,11/8/2026,-0.00020146,32.1883406,0,0,0,0,SELL,CASH
USD.TWD,,,,11/8/2026,-2.00E-08,32.1883406,0,0,0,0,SELL,CASH
EOS,TRNT,3,0,,,,,,,,,
BOS,RATE,Conversion Rates,,,,,,,,,,
Date/Time,FromCurrency,ToCurrency,Rate,,,,,,,,,
12/8/2026,CHF,USD,1.229,,,,,,,,,
12/8/2026,MXN,USD,0.058624,,,,,,,,,
12/8/2026,QAR,USD,0.27429,,,,,,,,,
12/8/2026,SAR,USD,0.26634,,,,,,,,,
12/8/2026,ZAR,USD,0.061922,,,,,,,,,
12/8/2026,INR,USD,0.010489,,,,,,,,,
12/8/2026,THB,USD,0.030198,,,,,,,,,
12/8/2026,CNY,USD,0.14828,,,,,,,,,
12/8/2026,AUD,USD,0.7063,,,,,,,,,
12/8/2026,KRW,USD,0.00070519,,,,,,,,,
12/8/2026,ILS,USD,0.33523,,,,,,,,,
12/8/2026,JPY,USD,0.0062726,,,,,,,,,
12/8/2026,PLN,USD,0.26768,,,,,,,,,
12/8/2026,GBP,USD,1.3495,,,,,,,,,
12/8/2026,IDR,USD,0.00005596,,,,,,,,,
12/8/2026,HUF,USD,0.0031626,,,,,,,,,
12/8/2026,KWD,USD,3.2547,,,,,,,,,
12/8/2026,PHP,USD,0.016328,,,,,,,,,
12/8/2026,TRY,USD,0.020937,,,,,,,,,
12/8/2026,RUB,USD,0.01209,,,,,,,,,
12/8/2026,AED,USD,0.27226,,,,,,,,,
12/8/2026,TWD,USD,0.031025,,,,,,,,,
12/8/2026,HKD,USD,0.12743,,,,,,,,,
12/8/2026,EUR,USD,1.1525,,,,,,,,,
12/8/2026,DKK,USD,0.15417,,,,,,,,,
12/8/2026,CAD,USD,0.71737,,,,,,,,,
12/8/2026,MYR,USD,0.24477,,,,,,,,,
12/8/2026,BGN,USD,0.6006,,,,,,,,,
12/8/2026,NOK,USD,0.10531,,,,,,,,,
12/8/2026,RON,USD,0.22003,,,,,,,,,
12/8/2026,RUS,USD,0.01209,,,,,,,,,
12/8/2026,SGD,USD,0.78087,,,,,,,,,
12/8/2026,OMR,USD,2.5973,,,,,,,,,
12/8/2026,CZK,USD,0.04755,,,,,,,,,
12/8/2026,SEK,USD,0.10437,,,,,,,,,
12/8/2026,NZD,USD,0.58587,,,,,,,,,
12/8/2026,CNH,USD,0.14823,,,,,,,,,
12/8/2026,BRL,USD,0.19314,,,,,,,,,
12/8/2026,BHD,USD,2.6523,,,,,,,,,
EOS,RATE,39,0,,,,,,,,,
EOA,U27314711,,,,,,,,,,,
BOA,U18135473,,,,,,,,,,,
BOS,ACCT,Account Information,,,,,,,,,,
ClientAccountID,CurrencyPrimary,,,,,,,,,,,
U18135473,USD,,,,,,,,,,,
EOS,ACCT,1,0,,,,,,,,,
BOS,CNAV,Change In NAV,,,,,,,,,,
StartingValue,Realized,ChangeInUnrealized,DepositsWithdrawals,EndingValue,,,,,,,,
84165894.01,0,0,0,85929265.03,,,,,,,,
EOS,CNAV,1,85929265.03,,,,,,,,,
BOS,MTMP,Mark-to-Market Performance Summary in Base,,,,,,,,,,
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice,
581.0808,581.0808,0,2000,,,1,1109,STK,COMMON,1109,35,
-8.9201,-8.9201,0,1000,,,1,1258,STK,COMMON,1258,15.14,
-45.8748,-45.8748,0,6000,,,1,1288,STK,COMMON,1288,5.79,
-5986.6614,-5986.6614,0,1566000,,,1,1398,STK,COMMON,1398,7.16,
-1233.5224,-1233.5224,0,2000,,,1,1698,STK,COMMON,1698,33.72,
-7.6458,-7.6458,0,200,,,1,1810,STK,COMMON,1810,26.36,
-7.6458,-7.6458,0,300,,,1,2359,STK,COMMON,2359,198.9,
-66.2636,-66.2636,0,2000,,,1,2800,STK,ETF,2800,25.88,
-74.92884,-74.92884,0,600,,,1,2828,STK,ETF,2828,86.8,
137.6244,137.6244,0,2000,,,1,2899,STK,COMMON,2899,35.92,
-10.70412,-10.70412,0,700,,,1,3067,STK,ETF,3067,10.08,
1497.3025,1497.3025,0,4700,,,1,3750,STK,COMMON,3750,654,
5046.228,5046.228,0,33000,,,1,388,STK,COMMON,388,406.6,
-28.0346,-28.0346,0,4000,,,1,3988,STK,COMMON,3988,5.205,
-10951.9596,-10951.9596,0,18000,,,1,6301.T,STK,COMMON,6301,7349,
17764.0032,17764.0032,0,12000,,,1,6981.T,STK,COMMON,6981,7538,
-117.2356,-117.2356,0,100,,,1,700,STK,COMMON,700,461.6,
2446.314,2446.314,0,2600,,,1,8360.T,STK,COMMON,8360,7040,
-100.92456,-100.92456,0,1800,,,1,9633,STK,COMMON,9633,42.68,
-93.7044,-93.7044,0,6000,,,1,A17U,STK,REIT,A17U,2.49,
9313,9313,0,13900,,,1,AVDV,STK,ETF,AVDV,110.28,
14732.5,14732.5,0,10375,,,1,AVEM,STK,ETF,AVEM,93.5,
2.9,2.9,0,10,,,1,AVUV,STK,ETF,AVUV,127.51,
-18410,-18410,0,7000,,,1,BABA,STK,ADR,BABA,125.22,
25110,25110,0,31000,,,1,BAC,STK,COMMON,BAC,64.81,
-14,-14,0,70,,,1,BMNR,STK,COMMON,BMNR,17.89,
491.9481,491.9481,0,3000,,,1,BN4,STK,COMMON,BN4,11.29,
2339.85,2339.85,0,821,,,1,BWXT,STK,COMMON,BWXT,172.56,
-9.37044,-9.37044,0,200,,,1,C6L,STK,COMMON,C6L,7.09,
4.8,4.8,0,15,,,1,CEG,STK,COMMON,CEG,278.68,
197227.99,197227.99,0,857513,,,1,CLSE,STK,ETF,CLSE,33.6,
82.65,82.65,0,29,,,1,CME,STK,COMMON,CME,262.17,
131565.22,131565.22,0,98183,,,1,CNXT,STK,ETF,CNXT,51.86,
2.3,2.3,0,5,,,1,COIN,STK,COMMON,COIN,149.04,
44.85,44.85,0,13,,,1,CSCO,STK,COMMON,CSCO,123.88,
-17.7,-17.7,0,10,,,1,CTAS,STK,COMMON,CTAS,203.51,
-712.15344,-712.15344,0,800,,,1,D05,STK,COMMON,D05,75.85,
51602.3,51602.3,0,516023,,,1,DBMF,STK,ETF,DBMF,31.43,
11740,11740,0,-2000,,,1,DDOG,STK,COMMON,DDOG,240.91,
-2350,-2350,0,5000,,,1,DG,STK,COMMON,DG,119.6,
0.41,0.41,0,1,,,1,EFA,STK,ETF,EFA,108.5,
-20.88,-20.88,0,36,,,1,EMR,STK,COMMON,EMR,163.8,
11.39,11.39,0,17,,,1,ETN,STK,COMMON,ETN,459.96,
233010,233010,0,27000,,,1,EWY,STK,ETF,EWY,175.87,
1737.24,1737.24,0,62,,,1,GEV,STK,COMMON,GEV,1039.9,
5568,5568,0,6400,,,1,GLDM,STK,ETF,GLDM,87.33,
-561.6,-561.6,0,2160,,,1,GOOGL,STK,COMMON,GOOGL,343.54,
28320,28320,0,118000,,,1,HGER,STK,ETF,HGER,33.72,
3.36,3.36,0,42,,,1,ICE,STK,COMMON,ICE,151.33,
73100,73100,0,430000,,,1,IQQ,STK,ETF,IQQ,24.48,
26690,26690,0,8500,,,1,JPM,STK,COMMON,JPM,365.18,
-1.2962442,-1.2962442,0,333,,,1,K71U,STK,REIT,K71U,0.885,
61232.08,61232.08,0,874744,,,1,KMLM,STK,ETF,KMLM,28.9,
142576,142576,0,53200,,,1,KORU,STK,ETF,KORU,20.32,
22715.07,22715.07,0,39851,,,1,KRE,STK,ETF,KRE,77.38,
17.94,17.94,0,1794,,,1,LAC,STK,COMMON,LAC,3.26,
15.78,15.78,0,3,,,1,LLY,STK,COMMON,LLY,1220.28,
-62.4696,-62.4696,0,8000,,,1,ME8U,STK,REIT,ME8U,1.91,
1282.81,1282.81,0,787,,,1,NOC,STK,COMMON,NOC,577.32,
-39,-39,0,50,,,1,NVO,STK,ADR,NVO,46.39,
70,70,0,100,,,1,O,STK,REIT,O,62.59,
109.14,109.14,0,34,,,1,PANW,STK,COMMON,PANW,387.01,
-8.3,-8.3,0,10,,,1,PKB,STK,ETF,PKB,104.56,
240975,240975,0,45900,,,1,QQQ,STK,ETF,QQQ,723.7,
117506.1,117506.1,0,54654,,,1,QQQM,STK,ETF,QQQM,297.98,
-4752,-4752,0,4320,,,1,RTX,STK,COMMON,RTX,222.76,
-14411.73672,-14411.73672,0,76900,,,1,S68,STK,COMMON,S68,24.96,
-6934.016705,-7183.33,253,719833,,,1,SCHD,STK,ETF,SCHD,34.26,
10387.76,10387.76,0,8200,,,1,SCJ,STK,ETF,SCJ,109.8187,
3894.2,3894.2,0,389420,,,1,SGOV,STK,ETF,SGOV,100.52,
70,70,0,100,,,1,SHLD,STK,ETF,SHLD,70.15,
-804,-804,0,20100,,,1,SLI,STK,COMMON,SLI,2.41,
214200,214200,0,18000,,,1,SMH,STK,ETF,SMH,584.83,
39.75,39.75,0,15,,,1,SPMO,STK,ETF,SPMO,151.21,
4.5,4.5,0,2,,,1,SPXL,STK,ETF,SPXL,295.42,
134113.98,134113.98,0,87087,,,1,TQQQ,STK,ETF,TQQQ,74.6,
-24630.20154,-24630.20154,0,150200,,,1,U11,STK,COMMON,U11,41.95,
25037.81568,25037.81568,0,534400,,,1,U96,STK,COMMON,U96,5.72,
0.04,0.04,0,1,,,1,USMV,STK,ETF,USMV,100.77,
79,79,0,100,,,1,UTES,STK,ETF,UTES,77.62,
3.3,3.3,0,10,,,1,VDE,STK,ETF,VDE,172.29,
150,150,0,1000,,,1,VNAM,STK,ETF,VNAM,24.2,
137.55,137.55,0,21,,,1,VRT,STK,COMMON,VRT,288.36,
17.6,17.6,0,10,,,1,VST,STK,COMMON,VST,146.68,
55650,55650,0,105000,,,1,VYM,STK,ETF,VYM,166.67,
-1740.87,-1740.87,0,6003,,,1,VZ,STK,COMMON,VZ,46.98,
11154,11154,0,28600,,,1,XLP,STK,ETF,XLP,85.08,
989,989,0,2300,,,1,XLV,STK,ETF,XLV,168.44,
-3406.15494,-3406.15494,0,218100,,,1,Z74,STK,COMMON,Z74,4.29,
-15.45597214,-15.45597214,0,-26740708.79,,,0,HKD,CASH,,,0.12743,
263.9816393,263.9816393,0,-292362327.9,,,0,JPY,CASH,,,0.0062726,
-285.1191249,-285.1191249,0,-11843606.96,,,0,SGD,CASH,,,0.78087,
0,0,0,-176485554.1,,,0,USD,CASH,,,1,
1784945.308,0,0,,,,,,,,,,
EOS,MTMP,94,3569890.616,,,,,,,,,
BOS,CRTT,Cash Report; trade date basis,,,,,,,,,,
CurrencyPrimary,EndingCash,EndingCashSecurities,EndingCashCommodities,NetCashBalanceSLB,NetCashBalanceSLBSecurities,NetCashBalanceSLBCommodities,,,,,,
BASE_SUMMARY,-190975312,-190975312,0,-190975312,-190975312,0,,,,,,
HKD,-26740708.79,-26740708.79,0,-26740708.79,-26740708.79,0,,,,,,
JPY,-292362327.9,-292362327.9,0,-292362327.9,-292362327.9,0,,,,,,
SGD,-11843606.96,-11843606.96,0,-11843606.96,-11843606.96,0,,,,,,
USD,-176485554.1,-176485554.1,0,-176485554.1,-176485554.1,0,,,,,,
EOS,CRTT,5,-698407509.7,,,,,,,,,
BOS,TRNT,Trades; trade date basis,,,,,,,,,,
Symbol,Strike,Expiry,Put/Call,TradeDate,Quantity,TradePrice,IBCommission,FifoPnlRealized,CapitalGainsPnl,FxPnl,Buy/Sell,AssetClass
SCHD,,,,12/8/2026,1500,34.09133333,-3.686705,0,0,0,BUY,STK
EOS,TRNT,2,0,,,,,,,,,
BOS,RATE,Conversion Rates,,,,,,,,,,
Date/Time,FromCurrency,ToCurrency,Rate,,,,,,,,,
12/8/2026,CHF,USD,1.229,,,,,,,,,
12/8/2026,MXN,USD,0.058624,,,,,,,,,
12/8/2026,QAR,USD,0.27429,,,,,,,,,
12/8/2026,SAR,USD,0.26634,,,,,,,,,
12/8/2026,ZAR,USD,0.061922,,,,,,,,,
12/8/2026,INR,USD,0.010489,,,,,,,,,
12/8/2026,THB,USD,0.030198,,,,,,,,,
12/8/2026,CNY,USD,0.14828,,,,,,,,,
12/8/2026,AUD,USD,0.7063,,,,,,,,,
12/8/2026,KRW,USD,0.00070519,,,,,,,,,
12/8/2026,ILS,USD,0.33523,,,,,,,,,
12/8/2026,JPY,USD,0.0062726,,,,,,,,,
12/8/2026,PLN,USD,0.26768,,,,,,,,,
12/8/2026,GBP,USD,1.3495,,,,,,,,,
12/8/2026,IDR,USD,0.00005596,,,,,,,,,
12/8/2026,HUF,USD,0.0031626,,,,,,,,,
12/8/2026,KWD,USD,3.2547,,,,,,,,,
12/8/2026,PHP,USD,0.016328,,,,,,,,,
12/8/2026,TRY,USD,0.020937,,,,,,,,,
12/8/2026,RUB,USD,0.01209,,,,,,,,,
12/8/2026,AED,USD,0.27226,,,,,,,,,
12/8/2026,TWD,USD,0.031025,,,,,,,,,
12/8/2026,HKD,USD,0.12743,,,,,,,,,
12/8/2026,EUR,USD,1.1525,,,,,,,,,
12/8/2026,DKK,USD,0.15417,,,,,,,,,
12/8/2026,CAD,USD,0.71737,,,,,,,,,
12/8/2026,MYR,USD,0.24477,,,,,,,,,
12/8/2026,BGN,USD,0.6006,,,,,,,,,
12/8/2026,NOK,USD,0.10531,,,,,,,,,
12/8/2026,RON,USD,0.22003,,,,,,,,,
12/8/2026,RUS,USD,0.01209,,,,,,,,,
12/8/2026,SGD,USD,0.78087,,,,,,,,,
12/8/2026,OMR,USD,2.5973,,,,,,,,,
12/8/2026,CZK,USD,0.04755,,,,,,,,,
12/8/2026,SEK,USD,0.10437,,,,,,,,,
12/8/2026,NZD,USD,0.58587,,,,,,,,,
12/8/2026,CNH,USD,0.14823,,,,,,,,,
12/8/2026,BRL,USD,0.19314,,,,,,,,,
12/8/2026,BHD,USD,2.6523,,,,,,,,,
EOS,RATE,39,0,,,,,,,,,
EOA,U18135473,,,,,,,,,,,
BOA,U8251256,,,,,,,,,,,
BOS,ACCT,Account Information,,,,,,,,,,
ClientAccountID,CurrencyPrimary,,,,,,,,,,,
U8251256,USD,,,,,,,,,,,
EOS,ACCT,1,0,,,,,,,,,
BOS,CNAV,Change In NAV,,,,,,,,,,
StartingValue,Realized,ChangeInUnrealized,DepositsWithdrawals,EndingValue,,,,,,,,
6977688.962,0,0,0,6978423.847,,,,,,,,
EOS,CNAV,1,6978423.847,,,,,,,,,
BOS,MTMP,Mark-to-Market Performance Summary in Base,,,,,,,,,,
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice,
691.5,691.5,0,69150,,,1,SGOV,STK,ETF,SGOV,100.52,
16.2,16.2,0,270,,,1,SHYG,STK,ETF,SHYG,42.19,
0,0,0,4.52E-06,,,0,CAD,CASH,,,0.71737,
1.20E-07,1.20E-07,0,-2.93E-05,,,0,CHF,CASH,,,1.229,
-0.03218824,-0.03218824,0,17.88235791,,,0,EUR,CASH,,,1.1525,
0.12135201,0.12135201,0,-12213.85106,,,0,HKD,CASH,,,0.12743,
1.00E-08,1.00E-08,0,-0.0017193,,,0,JPY,CASH,,,0.0062726,
-3.50E-07,-3.50E-07,0,-0.00382842,,,0,MXN,CASH,,,0.058624,
-2.20E-07,-2.20E-07,0,0.000335185,,,0,SEK,CASH,,,0.10437,
-0.0148005,-0.0148005,0,26.91000711,,,0,SGD,CASH,,,0.78087,
0,0,0,16951.11139,,,0,USD,CASH,,,1,
707.7743628,0,0,,,,,,,,,,
EOS,MTMP,12,1415.548726,,,,,,,,,
BOS,CRTT,Cash Report; trade date basis,,,,,,,,,,
CurrencyPrimary,EndingCash,EndingCashSecurities,EndingCashCommodities,NetCashBalanceSLB,NetCashBalanceSLBSecurities,NetCashBalanceSLBCommodities,,,,,,
BASE_SUMMARY,15436.32275,15436.32173,0.0010199,15436.32275,15436.32173,0.0010199,,,,,,
CAD,0.000004515,0.000004515,0,0.000004515,0.000004515,0,,,,,,
CHF,-0.000029287,-0.000029287,0,-0.000029287,-0.000029287,0,,,,,,
EUR,17.88235791,17.88235791,0,17.88235791,17.88235791,0,,,,,,
HKD,-12213.85106,-12213.85106,0,-12213.85106,-12213.85106,0,,,,,,
JPY,-0.0017193,-0.0017193,0,-0.0017193,-0.0017193,0,,,,,,
MXN,-0.00382842,-0.00382842,0,-0.00382842,-0.00382842,0,,,,,,
SEK,0.000335185,0.000335185,0,0.000335185,0.000335185,0,,,,,,
SGD,26.91000711,26.91000711,0,26.91000711,26.91000711,0,,,,,,
USD,16951.11139,16951.11037,0.0010199,16951.11139,16951.11037,0.0010199,,,,,,
EOS,CRTT,10,20218.37021,,,,,,,,,
BOS,TRNT,Trades; trade date basis,,,,,,,,,,
Symbol,Strike,Expiry,Put/Call,TradeDate,Quantity,TradePrice,IBCommission,FifoPnlRealized,CapitalGainsPnl,FxPnl,Buy/Sell,AssetClass
EOS,TRNT,0,0,,,,,,,,,
BOS,RATE,Conversion Rates,,,,,,,,,,
Date/Time,FromCurrency,ToCurrency,Rate,,,,,,,,,
12/8/2026,CHF,USD,1.229,,,,,,,,,
12/8/2026,MXN,USD,0.058624,,,,,,,,,
12/8/2026,QAR,USD,0.27429,,,,,,,,,
12/8/2026,SAR,USD,0.26634,,,,,,,,,
12/8/2026,ZAR,USD,0.061922,,,,,,,,,
12/8/2026,INR,USD,0.010489,,,,,,,,,
12/8/2026,THB,USD,0.030198,,,,,,,,,
12/8/2026,CNY,USD,0.14828,,,,,,,,,
12/8/2026,AUD,USD,0.7063,,,,,,,,,
12/8/2026,KRW,USD,0.00070519,,,,,,,,,
12/8/2026,ILS,USD,0.33523,,,,,,,,,
12/8/2026,JPY,USD,0.0062726,,,,,,,,,
12/8/2026,PLN,USD,0.26768,,,,,,,,,
12/8/2026,GBP,USD,1.3495,,,,,,,,,
12/8/2026,IDR,USD,0.00005596,,,,,,,,,
12/8/2026,HUF,USD,0.0031626,,,,,,,,,
12/8/2026,KWD,USD,3.2547,,,,,,,,,
12/8/2026,PHP,USD,0.016328,,,,,,,,,
12/8/2026,TRY,USD,0.020937,,,,,,,,,
12/8/2026,RUB,USD,0.01209,,,,,,,,,
12/8/2026,AED,USD,0.27226,,,,,,,,,
12/8/2026,TWD,USD,0.031025,,,,,,,,,
12/8/2026,HKD,USD,0.12743,,,,,,,,,
12/8/2026,EUR,USD,1.1525,,,,,,,,,
12/8/2026,DKK,USD,0.15417,,,,,,,,,
12/8/2026,CAD,USD,0.71737,,,,,,,,,
12/8/2026,MYR,USD,0.24477,,,,,,,,,
12/8/2026,BGN,USD,0.6006,,,,,,,,,
12/8/2026,NOK,USD,0.10531,,,,,,,,,
12/8/2026,RON,USD,0.22003,,,,,,,,,
12/8/2026,RUS,USD,0.01209,,,,,,,,,
12/8/2026,SGD,USD,0.78087,,,,,,,,,
12/8/2026,OMR,USD,2.5973,,,,,,,,,
12/8/2026,CZK,USD,0.04755,,,,,,,,,
12/8/2026,SEK,USD,0.10437,,,,,,,,,
12/8/2026,NZD,USD,0.58587,,,,,,,,,
12/8/2026,CNH,USD,0.14823,,,,,,,,,
12/8/2026,BRL,USD,0.19314,,,,,,,,,
12/8/2026,BHD,USD,2.6523,,,,,,,,,
EOS,RATE,39,0,,,,,,,,,
EOA,U8251256,,,,,,,,,,,
EOF,,,,,,,,,,,,
