"U18135473","USD","STK","COMMON","VST","VISTRA CORP"
"U18135473","USD","STK","COMMON","VZ","VERIZON COMMUNICATIONS INC"
"U18135473","USD","STK","ETF","XSMO","INVESCO S&P SMALLCAP MOMENTU"
"U18135473","HKD","OPT","C","HEX JUN26 440 C","388 29JUN26 440 C"
"U18135473","HKD","OPT","C","HEX SEP26 460 C","388 29SEP26 460 C"
"U18135473","USD","OPT","C","FXY   270115C00060000","FXY 15JAN27 60 C"
"U18135473","USD","OPT","C","GOOGL 271217C00335000","GOOGL 17DEC27 335 C"
"U18135473","USD","OPT","C","GS    280121C00810000","GS 21JAN28 810 C"
"U18135473","USD","OPT","C","GS    280121C00880000","GS 21JAN28 880 C"
"U18135473","USD","OPT","C","JPM   280121C00320000","JPM 21JAN28 320 C"
"U18135473","USD","OPT","C","JPM   280121C00330000","JPM 21JAN28 330 C"
"U18135473","USD","OPT","C","JPM   280121C00470000","JPM 21JAN28 470 C"
"U18135473","USD","OPT","C","ORCL  271217C00190000","ORCL 17DEC27 190 C"
"U18135473","USD","OPT","C","PLTR  271217C00260000","PLTR 17DEC27 260 C"
"U18135473","USD","OPT","C","PLTR  271217C00280000","PLTR 17DEC27 280 C"
"U18135473","USD","OPT","C","PM    270115C00080000","PM 15JAN27 80 C"
"U18135473","USD","OPT","C","PM    270115C00115000","PM 15JAN27 115 C"
"U18135473","USD","OPT","C","QQQ   251231C00580000","QQQ 31DEC25 580 C"
"U18135473","USD","OPT","C","VST   280121C00320000","VST 21JAN28 320 C"
"U18135473","USD","FOP","C","NQZ5 C25750","NQ 19DEC25 25750 C"
"U18135473","USD","FOP","C","NQZ5 C26000","NQ 19DEC25 26000 C"
"U18135473","USD","FOP","C","NQZ5 C26250","NQ 19DEC25 26250 C"
"U18135473","HKD","OPT","P","HEX JUN26 430 P","388 29JUN26 430 P"
"U18135473","HKD","OPT","P","HEX SEP26 440 P","388 29SEP26 440 P"
"U18135473","USD","OPT","P","FXY   270115P00065000","FXY 15JAN27 65 P"
"U18135473","USD","OPT","P","GOOGL 271217P00270000","GOOGL 17DEC27 270 P"
"U18135473","USD","OPT","P","GOOGL 271217P00280000","GOOGL 17DEC27 280 P"
"U18135473","USD","OPT","P","GS    280121P00700000","GS 21JAN28 700 P"
"U18135473","USD","OPT","P","GS    280121P00710000","GS 21JAN28 710 P"
"U18135473","USD","OPT","P","GS    280121P00760000","GS 21JAN28 760 P"
"U18135473","USD","OPT","P","GS    280121P00820000","GS 21JAN28 820 P"
"U18135473","USD","OPT","P","JPM   280121P00280000","JPM 21JAN28 280 P"
"U18135473","USD","OPT","P","JPM   280121P00310000","JPM 21JAN28 310 P"
"U18135473","USD","OPT","P","JPM   280121P00320000","JPM 21JAN28 320 P"
"U18135473","USD","OPT","P","JPM   280121P00330000","JPM 21JAN28 330 P"
"U18135473","USD","OPT","P","JPM   280121P00360000","JPM 21JAN28 360 P"
"U18135473","USD","OPT","P","ORCL  271217P00320000","ORCL 17DEC27 320 P"
"U18135473","USD","OPT","P","PLTR  271217P00140000","PLTR 17DEC27 140 P"
"U18135473","USD","OPT","P","PLTR  271217P00180000","PLTR 17DEC27 180 P"
"U18135473","USD","OPT","P","PLTR  271217P00185000","PLTR 17DEC27 185 P"
"U18135473","USD","OPT","P","PLTR  271217P00195000","PLTR 17DEC27 195 P"
"U18135473","USD","OPT","P","PM    270115P00190000","PM 15JAN27 190 P"
"U18135473","USD","OPT","C","QQQ   251231C00552000","QQQ 31DEC25 552 C"
"U18135473","USD","OPT","C","QQQ   251231C00553000","QQQ 31DEC25 553 C"
"U18135473","USD","OPT","P","VST   280121P00185000","VST 21JAN28 185 P"
"U18135473","USD","FOP","C","NQZ5 C24500","NQ 19DEC25 24500 C"
"U18135473","USD","FOP","C","NQZ5 C24750","NQ 19DEC25 24750 C"
"ClientAccountID","CurrencyPrimary","AssetClass","SubCategory","Symbol","Description"
"U8251256","USD","STK","ETF","EBND","SPDR BLOOMBERG EM BOND"
"U8251256","USD","STK","ETF","EMLC","VANECK JPM EM LOCAL CURR BND"
"U8251256","USD","STK","ETF","SGOV","ISHARES 0-3 MONTH TREASURY B"
"U8251256","USD","STK","COMMON","INTC","INTEL CORP"
